date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:15	79553/79553	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:12%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/index.html	(from https://arsredovisning.helsingborg.se/)
14:12:20	80366/80366	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:16%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/vision-2035/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/vision-2035/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/)
14:12:24	87617/87617	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:16%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/fem-ar-i-sammandrag/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/fem-ar-i-sammandrag/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/)
14:12:25	111990/111990	---M--	200	added ('OK')	image/jpeg	etag:%221b576-54a9d46309f83%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/inledning_slf037658.jpg	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/inledning_slf037658.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/)
14:12:27	2632/2632	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a48-4d3fb6bd1b480%22	https://arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/tablepress.eot?	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/tablepressd41d.eot	(from https://arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/default.min.css)
14:12:31	70795/70795	---M--	200	added ('OK')	image/jpeg	etag:%221148b-54a9d206a0d12%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf018905_ekonomi.jpg	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf018905_ekonomi.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/)
14:12:34	83229/83229	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:30%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/attraktiv-arbetsgivare/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/attraktiv-arbetsgivare/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/)
14:12:36	80576/80576	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:30%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/vad-anvands-skattepengarna-till/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/vad-anvands-skattepengarna-till/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/)
14:12:39	79963/79963	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:30%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/)
14:12:48	108147/108147	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:44%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/omvarlden-paverkar-oss/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/omvarlden-paverkar-oss/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/)
14:12:50	83570/83570	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:44%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/forslag-till-resultatdisposition/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/forslag-till-resultatdisposition/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/ekonomi/)
14:12:52	82681/82681	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:44%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/miljo/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/miljo/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/)
14:12:54	117963/117963	---M--	200	added ('OK')	image/jpeg	etag:%221cccb-54a9d464022df%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/inv_sbf034910-1.jpg	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/inv_sbf034910-1.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/invanarperspektiv/)
14:13:00	80673/80673	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:58%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/resultatrakning/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/resultatrakning/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/)
14:13:03	83855/83855	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:58%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/kassaflodesanalys/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/kassaflodesanalys/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/)
14:13:06	88642/88642	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:58%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/balansrakning/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/balansrakning/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/)
14:13:10	206932/206932	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:12:58%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/noter/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/noter/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/koncernen/)
14:13:15	89551/89551	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:13%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/balansrakning/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/balansrakning/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:18	84777/84777	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:13%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/kassaflodesanalys/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/kassaflodesanalys/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:21	85454/85454	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:13%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/skattefinansierad-verksamhet/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/skattefinansierad-verksamhet/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:27	196447/196447	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:13%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/noter/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/noter/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:30	97733/97733	---M--	200	added ('OK')	image/jpeg	etag:%2217dc5-54a9d74a87e77%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/10/slf018879_redovisning.jpg	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/10/slf018879_redovisning.jpg	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/vara-redovisningsprinciper/)
14:13:34	82953/82953	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:30%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/driftredovisning-2/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/driftredovisning-2/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:36	82506/82506	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:31%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/investeringsredovisning/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/investeringsredovisning/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:38	78350/78350	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:31%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/revisionsberattelse/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/revisionsberattelse/index.html	(from https://arsredovisning.helsingborg.se/ekonomisk-redovisning/staden/)
14:13:45	103351/103351	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:40%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/stadsbyggnadsnamnden/uppfoljning-av-namndens-mal/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/stadsbyggnadsnamnden/uppfoljning-av-namndens-mal/index.html	(from https://arsredovisning.helsingborg.se/rattelser/)
14:13:48	89066/89066	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:46%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/stadsbyggnadsnamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/stadsbyggnadsnamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
14:13:52	88477/88477	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:46%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/vard-och-omsorgsnamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/vard-och-omsorgsnamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
14:13:54	88470/88470	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:46%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/socialnamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/socialnamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
14:14:04	88617/88617	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:13:46%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/arbetsmarknadsnamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/arbetsmarknadsnamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
14:14:05	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Dec%202017%2013:13:49%20GMT	http://www.helsingborg.se/wp-content/uploads/2015/09/Bolagsstyrning_i_Helsingborg.pdf	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/www.helsingborg.se/wp-content/uploads/2015/09/Bolagsstyrning_i_Helsingborg.28.delayed	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/bolag/)
14:14:08	88315/88315	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:14:06%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/kulturnamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/kulturnamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
14:14:11	88286/88286	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:14:06%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/miljonamnden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/miljonamnden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/)
