date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:34	147484/147484	---M--	200	added ('OK')	image/jpeg	etag:%222401c-54a4cc7008fbe%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036055.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036055.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:35	123283/123283	---M--	200	added ('OK')	image/jpeg	etag:%221e193-54a4cc74f31f8%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036209.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036209.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:35	180550/180550	---M--	200	added ('OK')	image/jpeg	etag:%222c146-54a4cc73f9492%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036139.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036139.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:35	140832/140832	---M--	200	added ('OK')	image/jpeg	etag:%2222620-54a4cc708c019%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036071.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036071.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:35	135705/135705	---M--	200	added ('OK')	image/jpeg	etag:%2221219-54a4cc7353451%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036133.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036133.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:36	167583/167583	---M--	200	added ('OK')	image/jpeg	etag:%2228e9f-54a4cc71adb85%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036103.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036103.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:36	110569/110569	---M--	200	added ('OK')	image/jpeg	etag:%221afe9-54a4cc74742b7%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036148.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036148.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:36	35601/35601	---M--	200	added ('OK')	image/jpeg	etag:%228b11-54a47ca723e17%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/slf036046-ali-shibl-min.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/slf036046-ali-shibl-min.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:37	143292/143292	---M--	200	added ('OK')	image/jpeg	etag:%2222fbc-54a4cc7118cb4%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036098.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036098.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:37	67183/67183	---M--	200	added ('OK')	image/jpeg	etag:%221066f-54a5e063e8a1e%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036143-michael-rosenberg-e1489142575708.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036143-michael-rosenberg-e1489142575708.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:37	35825/35825	---M--	200	added ('OK')	image/png	etag:%228bf1-546d6c903107d%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/sa_styrs_hbg.png	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/sa_styrs_hbg.png	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/)
09:58:40	81178/81178	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:58:39%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/mal-och-resultatstyrning-i-namnder-och-verksamheter/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/mal-och-resultatstyrning-i-namnder-och-verksamheter/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/)
09:58:40	94511/94511	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:58:39%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/stadens-mal/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/stadens-mal/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/sa-styrs-helsingborg/)
09:58:41	63014/63014	---M--	200	added ('OK')	image/png	etag:%22f626-54a0fd37a80cd%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/video1-1140x641.png	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/video1-1140x641.png	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/attraktiv-arbetsgivare/)
